 	\u0020	alt-032	SPACE
⛦	\u26E6	alt-09958	LEFT-HANDED INTERLACED PENTAGRAM
⛧	\u26E7	alt-09959	INVERTED PENTAGRAM
Map symbols from ARIB STD B24

⛨	\u26E8	alt-09960	BLACK CROSS ON SHIELD = hospital
⛩	\u26E9	alt-09961	SHINTO SHRINE = torii
⛪	\u26EA	alt-09962	CHURCH
⛫	\u26EB	alt-09963	CASTLE
⛬	\u26EC	alt-09964	HISTORIC SITE
⛭	\u26ED	alt-09965	GEAR WITHOUT HUB = factory
⛮	\u26EE	alt-09966	GEAR WITH HANDLES = power plant, power substation
⛯	\u26EF	alt-09967	MAP SYMBOL FOR LIGHTHOUSE
⛰	\u26F0	alt-09968	MOUNTAIN
⛱	\u26F1	alt-09969	UMBRELLA ON GROUND = bathing beach
⛲	\u26F2	alt-09970	FOUNTAIN = park
⛳	\u26F3	alt-09971	FLAG IN HOLE = golf course
⛴	\u26F4	alt-09972	FERRY = ferry boat terminal
⛵	\u26F5	alt-09973	SAILBOAT = marina or yacht harbour
⛶	\u26F6	alt-09974	SQUARE FOUR CORNERS = intersection
⛷	\u26F7	alt-09975	SKIER = ski resort
⛸	\u26F8	alt-09976	ICE SKATE = ice skating rink
⛹	\u26F9	alt-09977	PERSON WITH BALL = track and field, gymnasium
⛺	\u26FA	alt-09978	TENT = camping site
⛻	\u26FB	alt-09979	JAPANESE BANK SYMBOL
⛼	\u26FC	alt-09980	HEADSTONE GRAVEYARD SYMBOL = graveyard, memorial park, cemetery
⛽	\u26FD	alt-09981	FUEL PUMP = petrol station, gas station
⛾	\u26FE	alt-09982	CUP ON BLACK SQUARE = drive-in restaurant
⛿	\u26FF	alt-09983	WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE = Japanese self-defence force site
Miscellaneous

✁	\u2701	alt-09985	UPPER BLADE SCISSORS
✂	\u2702	alt-09986	BLACK SCISSORS
✃	\u2703	alt-09987	LOWER BLADE SCISSORS
✄	\u2704	alt-09988	WHITE SCISSORS
✅	\u2705	alt-09989	WHITE HEAVY CHECK MARK - OK symbol Accepted mark
✆	\u2706	alt-09990	TELEPHONE LOCATION SIGN
✇	\u2707	alt-09991	TAPE DRIVE
✈	\u2708	alt-09992	AIRPLANE
✉	\u2709	alt-09993	ENVELOPE
✊	\u270A	alt-09994	RAISED FIST = rock in Rock, Paper, Scissors game
✋	\u270B	alt-09995	RAISED HAND = paper in Rock, Paper, Scissors game
✌	\u270C	alt-09996	VICTORY HAND = scissors in Rock, Paper, Scissors game
✍	\u270D	alt-09997	WRITING HAND
✎	\u270E	alt-09998	LOWER RIGHT PENCIL
✏	\u270F	alt-09999	PENCIL
✐	\u2710	alt-010000	UPPER RIGHT PENCIL
✑	\u2711	alt-010001	WHITE NIB
✒	\u2712	alt-010002	BLACK NIB
✓	\u2713	alt-010003	CHECK MARK
✔	\u2714	alt-010004	HEAVY CHECK MARK
✕	\u2715	alt-010005	MULTIPLICATION X
✖	\u2716	alt-010006	HEAVY MULTIPLICATION X
✗	\u2717	alt-010007	BALLOT X
✘	\u2718	alt-010008	HEAVY BALLOT X
Crosses

✙	\u2719	alt-010009	OUTLINED GREEK CROSS
✚	\u271A	alt-010010	HEAVY GREEK CROSS
✛	\u271B	alt-010011	OPEN CENTRE CROSS
✜	\u271C	alt-010012	HEAVY OPEN CENTRE CROSS
✝	\u271D	alt-010013	LATIN CROSS
✞	\u271E	alt-010014	SHADOWED WHITE LATIN CROSS
✟	\u271F	alt-010015	OUTLINED LATIN CROSS
✠	\u2720	alt-010016	MALTESE CROSS
Stars, asterisks and snowflakes

✡	\u2721	alt-010017	STAR OF DAVID
✢	\u2722	alt-010018	FOUR TEARDROP-SPOKED ASTERISK
✣	\u2723	alt-010019	FOUR BALLOON-SPOKED ASTERISK
✤	\u2724	alt-010020	HEAVY FOUR BALLOON-SPOKED ASTERISK
✥	\u2725	alt-010021	FOUR CLUB-SPOKED ASTERISK
✦	\u2726	alt-010022	BLACK FOUR POINTED STAR
✧	\u2727	alt-010023	WHITE FOUR POINTED STAR
✨	\u2728	alt-010024	SPARKLES
✩	\u2729	alt-010025	STRESS OUTLINED WHITE STAR
✪	\u272A	alt-010026	CIRCLED WHITE STAR
✫	\u272B	alt-010027	OPEN CENTRE BLACK STAR
✬	\u272C	alt-010028	BLACK CENTRE WHITE STAR
✭	\u272D	alt-010029	OUTLINED BLACK STAR
✮	\u272E	alt-010030	HEAVY OUTLINED BLACK STAR
✯	\u272F	alt-010031	PINWHEEL STAR
✰	\u2730	alt-010032	SHADOWED WHITE STAR
✱	\u2731	alt-010033	HEAVY ASTERISK
✲	\u2732	alt-010034	OPEN CENTRE ASTERISK
✳	\u2733	alt-010035	EIGHT SPOKED ASTERISK
✴	\u2734	alt-010036	EIGHT POINTED BLACK STAR
✵	\u2735	alt-010037	EIGHT POINTED PINWHEEL STAR
✶	\u2736	alt-010038	SIX POINTED BLACK STAR = sextile
✷	\u2737	alt-010039	EIGHT POINTED RECTILINEAR BLACK STAR
✸	\u2738	alt-010040	HEAVY EIGHT POINTED RECTILINEAR BLACK STAR
✹	\u2739	alt-010041	TWELVE POINTED BLACK STAR
✺	\u273A	alt-010042	SIXTEEN POINTED ASTERISK = starburst
✻	\u273B	alt-010043	TEARDROP-SPOKED ASTERISK
✼	\u273C	alt-010044	OPEN CENTRE TEARDROP-SPOKED ASTERISK
✽	\u273D	alt-010045	HEAVY TEARDROP-SPOKED ASTERISK
✾	\u273E	alt-010046	SIX PETALLED BLACK AND WHITE FLORETTE
✿	\u273F	alt-010047	BLACK FLORETTE
❀	\u2740	alt-010048	WHITE FLORETTE
❁	\u2741	alt-010049	EIGHT PETALLED OUTLINED BLACK FLORETTE
❂	\u2742	alt-010050	CIRCLED OPEN CENTRE EIGHT POINTED STAR
❃	\u2743	alt-010051	HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK
❄	\u2744	alt-010052	SNOWFLAKE
❅	\u2745	alt-010053	TIGHT TRIFOLIATE SNOWFLAKE
❆	\u2746	alt-010054	HEAVY CHEVRON SNOWFLAKE
❇	\u2747	alt-010055	SPARKLE
❈	\u2748	alt-010056	HEAVY SPARKLE
❉	\u2749	alt-010057	BALLOON-SPOKED ASTERISK = jack
❊	\u274A	alt-010058	EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
❋	\u274B	alt-010059	HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK = turbofan
Miscellaneous

❌	\u274C	alt-010060	CROSS MARK
❍	\u274D	alt-010061	SHADOWED WHITE CIRCLE
❎	\u274E	alt-010062	NEGATIVE SQUARED CROSS MARK
❏	\u274F	alt-010063	LOWER RIGHT DROP-SHADOWED WHITE SQUARE
❐	\u2750	alt-010064	UPPER RIGHT DROP-SHADOWED WHITE SQUARE
❑	\u2751	alt-010065	LOWER RIGHT SHADOWED WHITE SQUARE
❒	\u2752	alt-010066	UPPER RIGHT SHADOWED WHITE SQUARE
❓	\u2753	alt-010067	BLACK QUESTION MARK ORNAMENT
❔	\u2754	alt-010068	WHITE QUESTION MARK ORNAMENT
❕	\u2755	alt-010069	WHITE EXCLAMATION MARK ORNAMENT
❖	\u2756	alt-010070	BLACK DIAMOND MINUS WHITE X
❗	\u2757	alt-010071	HEAVY EXCLAMATION MARK SYMBOL = obstacles on the road, ARIB STD B24
❘	\u2758	alt-010072	LIGHT VERTICAL BAR
❙	\u2759	alt-010073	MEDIUM VERTICAL BAR
❚	\u275A	alt-010074	HEAVY VERTICAL BAR
Punctuation ornaments

❛	\u275B	alt-010075	HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT
❜	\u275C	alt-010076	HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT
❝	\u275D	alt-010077	HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT
❞	\u275E	alt-010078	HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
❟	\u275F	alt-010079	HEAVY LOW SINGLE COMMA QUOTATION MARK ORNAMENT
❠	\u2760	alt-010080	HEAVY LOW DOUBLE COMMA QUOTATION MARK ORNAMENT
❡	\u2761	alt-010081	CURVED STEM PARAGRAPH SIGN ORNAMENT
❢	\u2762	alt-010082	HEAVY EXCLAMATION MARK ORNAMENT
❣	\u2763	alt-010083	HEAVY HEART EXCLAMATION MARK ORNAMENT
❤	\u2764	alt-010084	HEAVY BLACK HEART
❥	\u2765	alt-010085	ROTATED HEAVY BLACK HEART BULLET
❦	\u2766	alt-010086	FLORAL HEART = Aldus leaf
❧	\u2767	alt-010087	ROTATED FLORAL HEART BULLET = hedera, ivy leaf
Dingbat arrow

➔	\u2794	alt-010132	HEAVY WIDE-HEADED RIGHTWARDS ARROW
Dingbat arrows

➘	\u2798	alt-010136	HEAVY SOUTH EAST ARROW
➙	\u2799	alt-010137	HEAVY RIGHTWARDS ARROW
➚	\u279A	alt-010138	HEAVY NORTH EAST ARROW
➛	\u279B	alt-010139	DRAFTING POINT RIGHTWARDS ARROW
➜	\u279C	alt-010140	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
➝	\u279D	alt-010141	TRIANGLE-HEADED RIGHTWARDS ARROW
➞	\u279E	alt-010142	HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
➟	\u279F	alt-010143	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➠	\u27A0	alt-010144	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
➡	\u27A1	alt-010145	BLACK RIGHTWARDS ARROW
➢	\u27A2	alt-010146	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
➣	\u27A3	alt-010147	THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD
➤	\u27A4	alt-010148	BLACK RIGHTWARDS ARROWHEAD
➥	\u27A5	alt-010149	HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW
➦	\u27A6	alt-010150	HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW
➧	\u27A7	alt-010151	SQUAT BLACK RIGHTWARDS ARROW
➨	\u27A8	alt-010152	HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
➩	\u27A9	alt-010153	RIGHT-SHADED WHITE RIGHTWARDS ARROW
➪	\u27AA	alt-010154	LEFT-SHADED WHITE RIGHTWARDS ARROW
➫	\u27AB	alt-010155	BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➬	\u27AC	alt-010156	FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW
➭	\u27AD	alt-010157	HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➮	\u27AE	alt-010158	HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➯	\u27AF	alt-010159	NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➱	\u27B1	alt-010161	NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
➲	\u27B2	alt-010162	CIRCLED HEAVY WHITE RIGHTWARDS ARROW
➳	\u27B3	alt-010163	WHITE-FEATHERED RIGHTWARDS ARROW
➴	\u27B4	alt-010164	BLACK-FEATHERED SOUTH EAST ARROW
➵	\u27B5	alt-010165	BLACK-FEATHERED RIGHTWARDS ARROW
➶	\u27B6	alt-010166	BLACK-FEATHERED NORTH EAST ARROW
➷	\u27B7	alt-010167	HEAVY BLACK-FEATHERED SOUTH EAST ARROW
➸	\u27B8	alt-010168	HEAVY BLACK-FEATHERED RIGHTWARDS ARROW
➹	\u27B9	alt-010169	HEAVY BLACK-FEATHERED NORTH EAST ARROW
➺	\u27BA	alt-010170	TEARDROP-BARBED RIGHTWARDS ARROW
➻	\u27BB	alt-010171	HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW
➼	\u27BC	alt-010172	WEDGE-TAILED RIGHTWARDS ARROW
➽	\u27BD	alt-010173	HEAVY WEDGE-TAILED RIGHTWARDS ARROW
➾	\u27BE	alt-010174	OPEN-OUTLINED RIGHTWARDS ARROW
Arrows

⟰	\u27F0	alt-010224	UPWARDS QUADRUPLE ARROW
⟱	\u27F1	alt-010225	DOWNWARDS QUADRUPLE ARROW
⟲	\u27F2	alt-010226	ANTICLOCKWISE GAPPED CIRCLE ARROW
⟳	\u27F3	alt-010227	CLOCKWISE GAPPED CIRCLE ARROW
⟴	\u27F4	alt-010228	RIGHT ARROW WITH CIRCLED PLUS
Long arrows The long arrows are used for mapping whereas the short forms would be used in limits. They are also needed for MathML to complete mapping to the AMSA sets.

⟵	\u27F5	alt-010229	LONG LEFTWARDS ARROW
⟶	\u27F6	alt-010230	LONG RIGHTWARDS ARROW
⟷	\u27F7	alt-010231	LONG LEFT RIGHT ARROW
⟸	\u27F8	alt-010232	LONG LEFTWARDS DOUBLE ARROW
⟹	\u27F9	alt-010233	LONG RIGHTWARDS DOUBLE ARROW
⟺	\u27FA	alt-010234	LONG LEFT RIGHT DOUBLE ARROW
⟻	\u27FB	alt-010235	LONG LEFTWARDS ARROW FROM BAR = maps from
⟼	\u27FC	alt-010236	LONG RIGHTWARDS ARROW FROM BAR = maps to
⟽	\u27FD	alt-010237	LONG LEFTWARDS DOUBLE ARROW FROM BAR
⟾	\u27FE	alt-010238	LONG RIGHTWARDS DOUBLE ARROW FROM BAR
⟿	\u27FF	alt-010239	LONG RIGHTWARDS SQUIGGLE ARROW
Miscellaneous arrows

⤀	\u2900	alt-010496	RIGHTWARDS TWO-HEADED ARROW WITH VERTICAL STROKE = z notation partial surjection
⤁	\u2901	alt-010497	RIGHTWARDS TWO-HEADED ARROW WITH DOUBLE VERTICAL STROKE = z notation finite surjection
⤂	\u2902	alt-010498	LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE
⤃	\u2903	alt-010499	RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE
⤄	\u2904	alt-010500	LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE
⤅	\u2905	alt-010501	RIGHTWARDS TWO-HEADED ARROW FROM BAR = maps to
⤆	\u2906	alt-010502	LEFTWARDS DOUBLE ARROW FROM BAR = maps from
⤇	\u2907	alt-010503	RIGHTWARDS DOUBLE ARROW FROM BAR = maps to
⤈	\u2908	alt-010504	DOWNWARDS ARROW WITH HORIZONTAL STROKE
⤉	\u2909	alt-010505	UPWARDS ARROW WITH HORIZONTAL STROKE
⤊	\u290A	alt-010506	UPWARDS TRIPLE ARROW
⤋	\u290B	alt-010507	DOWNWARDS TRIPLE ARROW
⤌	\u290C	alt-010508	LEFTWARDS DOUBLE DASH ARROW
⤍	\u290D	alt-010509	RIGHTWARDS DOUBLE DASH ARROW
⤎	\u290E	alt-010510	LEFTWARDS TRIPLE DASH ARROW
⤏	\u290F	alt-010511	RIGHTWARDS TRIPLE DASH ARROW
⤐	\u2910	alt-010512	RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW
⤑	\u2911	alt-010513	RIGHTWARDS ARROW WITH DOTTED STEM
⤒	\u2912	alt-010514	UPWARDS ARROW TO BAR
⤓	\u2913	alt-010515	DOWNWARDS ARROW TO BAR
⤔	\u2914	alt-010516	RIGHTWARDS ARROW WITH TAIL WITH VERTICAL STROKE = z notation partial injection
⤕	\u2915	alt-010517	RIGHTWARDS ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE = z notation finite injection
⤖	\u2916	alt-010518	RIGHTWARDS TWO-HEADED ARROW WITH TAIL = bijective mapping = z notation bijection
⤗	\u2917	alt-010519	RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH VERTICAL STROKE = z notation surjective injection
⤘	\u2918	alt-010520	RIGHTWARDS TWO-HEADED ARROW WITH TAIL WITH DOUBLE VERTICAL STROKE = z notation finite surjective injection
Arrow tails

⤙	\u2919	alt-010521	LEFTWARDS ARROW-TAIL
⤚	\u291A	alt-010522	RIGHTWARDS ARROW-TAIL
⤛	\u291B	alt-010523	LEFTWARDS DOUBLE ARROW-TAIL
⤜	\u291C	alt-010524	RIGHTWARDS DOUBLE ARROW-TAIL
Miscellaneous arrows

⤝	\u291D	alt-010525	LEFTWARDS ARROW TO BLACK DIAMOND
⤞	\u291E	alt-010526	RIGHTWARDS ARROW TO BLACK DIAMOND
⤟	\u291F	alt-010527	LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND
⤠	\u2920	alt-010528	RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND
⤡	\u2921	alt-010529	NORTH WEST AND SOUTH EAST ARROW
⤢	\u2922	alt-010530	NORTH EAST AND SOUTH WEST ARROW
⤣	\u2923	alt-010531	NORTH WEST ARROW WITH HOOK
⤤	\u2924	alt-010532	NORTH EAST ARROW WITH HOOK
⤥	\u2925	alt-010533	SOUTH EAST ARROW WITH HOOK
⤦	\u2926	alt-010534	SOUTH WEST ARROW WITH HOOK
Crossing arrows for knot theory

⤧	\u2927	alt-010535	NORTH WEST ARROW AND NORTH EAST ARROW
⤨	\u2928	alt-010536	NORTH EAST ARROW AND SOUTH EAST ARROW
⤩	\u2929	alt-010537	SOUTH EAST ARROW AND SOUTH WEST ARROW
⤪	\u292A	alt-010538	SOUTH WEST ARROW AND NORTH WEST ARROW
⤫	\u292B	alt-010539	RISING DIAGONAL CROSSING FALLING DIAGONAL
⤬	\u292C	alt-010540	FALLING DIAGONAL CROSSING RISING DIAGONAL
⤭	\u292D	alt-010541	SOUTH EAST ARROW CROSSING NORTH EAST ARROW
⤮	\u292E	alt-010542	NORTH EAST ARROW CROSSING SOUTH EAST ARROW
⤯	\u292F	alt-010543	FALLING DIAGONAL CROSSING NORTH EAST ARROW
⤰	\u2930	alt-010544	RISING DIAGONAL CROSSING SOUTH EAST ARROW
⤱	\u2931	alt-010545	NORTH EAST ARROW CROSSING NORTH WEST ARROW
⤲	\u2932	alt-010546	NORTH WEST ARROW CROSSING NORTH EAST ARROW
Miscellaneous curved arrows

⤳	\u2933	alt-010547	WAVE ARROW POINTING DIRECTLY RIGHT
⤴	\u2934	alt-010548	ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
⤵	\u2935	alt-010549	ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
⤶	\u2936	alt-010550	ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS
⤷	\u2937	alt-010551	ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS
⤸	\u2938	alt-010552	RIGHT-SIDE ARC CLOCKWISE ARROW
⤹	\u2939	alt-010553	LEFT-SIDE ARC ANTICLOCKWISE ARROW
⤺	\u293A	alt-010554	TOP ARC ANTICLOCKWISE ARROW
⤻	\u293B	alt-010555	BOTTOM ARC ANTICLOCKWISE ARROW
⤼	\u293C	alt-010556	TOP ARC CLOCKWISE ARROW WITH MINUS
⤽	\u293D	alt-010557	TOP ARC ANTICLOCKWISE ARROW WITH PLUS
⤾	\u293E	alt-010558	LOWER RIGHT SEMICIRCULAR CLOCKWISE ARROW
⤿	\u293F	alt-010559	LOWER LEFT SEMICIRCULAR ANTICLOCKWISE ARROW
⥀	\u2940	alt-010560	ANTICLOCKWISE CLOSED CIRCLE ARROW
⥁	\u2941	alt-010561	CLOCKWISE CLOSED CIRCLE ARROW
Arrows combined with operators

⥂	\u2942	alt-010562	RIGHTWARDS ARROW ABOVE SHORT LEFTWARDS ARROW
⥃	\u2943	alt-010563	LEFTWARDS ARROW ABOVE SHORT RIGHTWARDS ARROW
⥄	\u2944	alt-010564	SHORT RIGHTWARDS ARROW ABOVE LEFTWARDS ARROW
⥅	\u2945	alt-010565	RIGHTWARDS ARROW WITH PLUS BELOW
⥆	\u2946	alt-010566	LEFTWARDS ARROW WITH PLUS BELOW
⥇	\u2947	alt-010567	RIGHTWARDS ARROW THROUGH X
⥈	\u2948	alt-010568	LEFT RIGHT ARROW THROUGH SMALL CIRCLE
⥉	\u2949	alt-010569	UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE
Double-barbed harpoons

⥊	\u294A	alt-010570	LEFT BARB UP RIGHT BARB DOWN HARPOON
⥋	\u294B	alt-010571	LEFT BARB DOWN RIGHT BARB UP HARPOON
⥌	\u294C	alt-010572	UP BARB RIGHT DOWN BARB LEFT HARPOON
⥍	\u294D	alt-010573	UP BARB LEFT DOWN BARB RIGHT HARPOON
⥎	\u294E	alt-010574	LEFT BARB UP RIGHT BARB UP HARPOON
⥏	\u294F	alt-010575	UP BARB RIGHT DOWN BARB RIGHT HARPOON
⥐	\u2950	alt-010576	LEFT BARB DOWN RIGHT BARB DOWN HARPOON
⥑	\u2951	alt-010577	UP BARB LEFT DOWN BARB LEFT HARPOON
White and black arrows Other white and black arrows to complete this set can be found in the Arrows and Dingbats blocks.

⬀	\u2B00	alt-011008	NORTH EAST WHITE ARROW
⬁	\u2B01	alt-011009	NORTH WEST WHITE ARROW
⬂	\u2B02	alt-011010	SOUTH EAST WHITE ARROW
⬃	\u2B03	alt-011011	SOUTH WEST WHITE ARROW
⬄	\u2B04	alt-011012	LEFT RIGHT WHITE ARROW
⬅	\u2B05	alt-011013	LEFTWARDS BLACK ARROW
⬆	\u2B06	alt-011014	UPWARDS BLACK ARROW
⬇	\u2B07	alt-011015	DOWNWARDS BLACK ARROW
⬈	\u2B08	alt-011016	NORTH EAST BLACK ARROW
⬉	\u2B09	alt-011017	NORTH WEST BLACK ARROW
⬊	\u2B0A	alt-011018	SOUTH EAST BLACK ARROW
⬋	\u2B0B	alt-011019	SOUTH WEST BLACK ARROW
⬌	\u2B0C	alt-011020	LEFT RIGHT BLACK ARROW
⬍	\u2B0D	alt-011021	UP DOWN BLACK ARROW
Arrows with bent tips Other arrows with bent tips to complete this set can be found in the Arrows block.

⬎	\u2B0E	alt-011022	RIGHTWARDS ARROW WITH TIP DOWNWARDS
⬏	\u2B0F	alt-011023	RIGHTWARDS ARROW WITH TIP UPWARDS
⬐	\u2B10	alt-011024	LEFTWARDS ARROW WITH TIP DOWNWARDS
⬑	\u2B11	alt-011025	LEFTWARDS ARROW WITH TIP UPWARDS
Squares

⬒	\u2B12	alt-011026	SQUARE WITH TOP HALF BLACK
⬓	\u2B13	alt-011027	SQUARE WITH BOTTOM HALF BLACK
⬔	\u2B14	alt-011028	SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK
⬕	\u2B15	alt-011029	SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK
Diamonds

⬖	\u2B16	alt-011030	DIAMOND WITH LEFT HALF BLACK
⬗	\u2B17	alt-011031	DIAMOND WITH RIGHT HALF BLACK
⬘	\u2B18	alt-011032	DIAMOND WITH TOP HALF BLACK
⬙	\u2B19	alt-011033	DIAMOND WITH BOTTOM HALF BLACK
Squares

⬚	\u2B1A	alt-011034	DOTTED SQUARE
Orthographic Latin additions

Ⱡ	\u2C60	alt-011360	LATIN CAPITAL LETTER L WITH DOUBLE BAR
ⱡ	\u2C61	alt-011361	LATIN SMALL LETTER L WITH DOUBLE BAR
Ᵽ	\u2C63	alt-011363	LATIN CAPITAL LETTER P WITH STROKE
ⱥ	\u2C65	alt-011365	LATIN SMALL LETTER A WITH STROKE
ⱦ	\u2C66	alt-011366	LATIN SMALL LETTER T WITH DIAGONAL STROKE
Miscellaneous additions

Ɑ	\u2C6D	alt-011373	LATIN CAPITAL LETTER ALPHA
Ɐ	\u2C6F	alt-011375	LATIN CAPITAL LETTER TURNED A
Ɒ	\u2C70	alt-011376	LATIN CAPITAL LETTER TURNED ALPHA
Half brackets These form a set of four corner brackets and are used editorially. They are distinguished from mathematical floor and ceiling characters. Occasionally quine corners are substituted for half brackets.

⸢	\u2E22	alt-011810	TOP LEFT HALF BRACKET
⸣	\u2E23	alt-011811	TOP RIGHT HALF BRACKET
⸤	\u2E24	alt-011812	BOTTOM LEFT HALF BRACKET
⸥	\u2E25	alt-011813	BOTTOM RIGHT HALF BRACKET
Historic punctuation

⸮	\u2E2E	alt-011822	REVERSED QUESTION MARK = punctus percontativus
CJK symbols and punctuation

〃	\u3003	alt-012291	DITTO MARK
〄	\u3004	alt-012292	JAPANESE INDUSTRIAL STANDARD SYMBOL
Latin ligatures See the Basic Latin block starting at 0020

ﬀ	\uFB00	alt-064256	LATIN SMALL LIGATURE FF
ﬁ	\uFB01	alt-064257	LATIN SMALL LIGATURE FI
ﬂ	\uFB02	alt-064258	LATIN SMALL LIGATURE FL
ﬃ	\uFB03	alt-064259	LATIN SMALL LIGATURE FFI
ﬄ	\uFB04	alt-064260	LATIN SMALL LIGATURE FFL
ﬅ	\uFB05	alt-064261	LATIN SMALL LIGATURE LONG S T
ﬆ	\uFB06	alt-064262	LATIN SMALL LIGATURE ST
Punctuation

﴾	\uFD3E	alt-064830	ORNATE LEFT PARENTHESIS
﴿	\uFD3F	alt-064831	ORNATE RIGHT PARENTHESIS
Currency sign

﷼	\uFDFC	alt-065020	RIAL SIGN
Glyphs for vertical variants

︐	\uFE10	alt-065040	PRESENTATION FORM FOR VERTICAL COMMA
︑	\uFE11	alt-065041	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC COMMA
︒	\uFE12	alt-065042	PRESENTATION FORM FOR VERTICAL IDEOGRAPHIC FULL STOP
︓	\uFE13	alt-065043	PRESENTATION FORM FOR VERTICAL COLON
︔	\uFE14	alt-065044	PRESENTATION FORM FOR VERTICAL SEMICOLON
︕	\uFE15	alt-065045	PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK
︖	\uFE16	alt-065046	PRESENTATION FORM FOR VERTICAL QUESTION MARK
︗	\uFE17	alt-065047	PRESENTATION FORM FOR VERTICAL LEFT WHITE LENTICULAR BRACKET
︘	\uFE18	alt-065048	PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET
︙	\uFE19	alt-065049	PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
︰	\uFE30	alt-065072	PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
︱	\uFE31	alt-065073	PRESENTATION FORM FOR VERTICAL EM DASH
︲	\uFE32	alt-065074	PRESENTATION FORM FOR VERTICAL EN DASH
︳	\uFE33	alt-065075	PRESENTATION FORM FOR VERTICAL LOW LINE
︴	\uFE34	alt-065076	PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
︵	\uFE35	alt-065077	PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
︶	\uFE36	alt-065078	PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
︷	\uFE37	alt-065079	PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
︸	\uFE38	alt-065080	PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
︹	\uFE39	alt-065081	PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
︺	\uFE3A	alt-065082	PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
︻	\uFE3B	alt-065083	PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
︼	\uFE3C	alt-065084	PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
︽	\uFE3D	alt-065085	PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
︾	\uFE3E	alt-065086	PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
︿	\uFE3F	alt-065087	PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
﹀	\uFE40	alt-065088	PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
﹁	\uFE41	alt-065089	PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
﹂	\uFE42	alt-065090	PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
